"","CR_1D_1","CR_7D_1","CR_14D_1","CS_1D_1","CS_7D_1","CS_14D_1","TR_1D_1","TR_7D_1","TR_14D_1","TS_1D_1","TS_7D_1","TS_14D_1"
"GRMZM2G339562",29,98,41,51,82,75,24,78,47,39,75,85
"GRMZM2G061602",409,260,73,1329,1138,422,251,247,129,1194,1264,339
"GRMZM2G079034",656,375,417,295,237,226,393,549,541,263,304,235
"GRMZM2G025833",35,1,0,13,24,2,10,3,0,6,22,4
"GRMZM2G136567",67,190,189,0,1,1,57,187,105,0,2,0
"GRMZM2G360191",26,94,68,3,1,1,33,56,69,3,0,1
"GRMZM2G167689",245,122,63,191,186,132,171,118,90,169,199,129
"GRMZM2G437100",1399,573,125,74,37,29,1190,692,194,60,27,46
"GRMZM2G132185",120,204,209,126,153,77,128,199,149,103,168,49
"GRMZM2G430807",1927,4832,3747,16144,11606,9426,2011,3637,2000,11435,8191,9369
"GRMZM2G054224",18,77,57,3,4,4,19,57,60,4,8,6
"GRMZM2G092137",454,843,609,1117,1272,1124,318,887,1441,926,1266,868
"GRMZM2G410083",500,214,85,1,2,0,278,218,127,1,0,0
"GRMZM5G864166",99,193,277,159,343,885,101,197,436,177,324,833
"GRMZM2G144097",97,215,183,95,161,197,85,203,196,98,159,155
"GRMZM2G153263",413,771,904,310,340,201,387,1042,1333,297,403,221
"GRMZM2G472226",136,38,29,9,6,6,71,27,29,8,11,3
"GRMZM2G160611",99,50,45,2,4,2,81,72,56,5,3,2
"GRMZM2G431039",2114,585,971,321,575,497,1384,395,590,179,527,686
"GRMZM2G446858",401,197,103,1,1,0,189,161,110,2,0,0
"GRMZM5G873519",3,17,7,24337,23990,17219,7,5,3,25452,22951,25466
"GRMZM2G083574",856,228,251,4,0,2,458,258,356,8,2,1
"GRMZM2G177915",0,21,10,0,0,1,1,16,3,0,0,0
"GRMZM2G382379",93,501,297,1,0,1,121,340,84,1,0,0
"GRMZM2G066413",1536,3087,1476,2847,2324,1623,1345,2688,2035,2059,2064,2223
"GRMZM2G045748",9,42,9,202,253,95,7,20,6,179,215,84
"GRMZM2G097469",417,173,86,2241,1832,606,353,98,157,2077,1712,284
"GRMZM2G103662",1494,897,975,705,722,823,921,1146,1362,715,847,520
"GRMZM2G105766",511,966,655,2,1,2,347,884,664,2,0,0
"GRMZM2G434557",255,638,680,304,365,264,260,651,756,210,262,551
"GRMZM2G026050",36,87,326,60,166,442,41,93,368,70,166,334
